filename,field,severity,message,current_value
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
bhrigu-samhita-hindi1.pdf,publisher,info,Publisher not extracted,
Copy of _सत्यवादी_राजा_हरिश्चंद्र_की_कथा.pdf,author,warning,Author not extracted,
Copy of _सत्यवादी_राजा_हरिश्चंद्र_की_कथा.pdf,publisher,info,Publisher not extracted,
Copy of आर्यभट्ट ( Hindi ).pdf,publisher,info,Publisher not extracted,
Copy of आर्यभट्ट.pdf,author,warning,Author not extracted,
Copy of आर्यभट्ट.pdf,publisher,info,Publisher not extracted,
Copy of एकलव्य.pdf,author,warning,Author not extracted,
Copy of एकलव्य.pdf,publisher,info,Publisher not extracted,
Copy of कार्तिकेय.pdf,author,warning,Author not extracted,
Copy of कार्तिकेय.pdf,publisher,info,Publisher not extracted,
Copy of छत्रपति शिवाजी ( Hindi ).pdf,publisher,info,Publisher not extracted,
Copy of छत्रपति शिवाजी.pdf,author,warning,Author not extracted,
Copy of छत्रपति शिवाजी.pdf,publisher,info,Publisher not extracted,
Copy of जगद्गुरु शंकराचार्य.pdf,author,warning,Author not extracted,
Copy of जगद्गुरु शंकराचार्य.pdf,publisher,info,Publisher not extracted,
Copy of जीजाबाई.pdf,author,warning,Author not extracted,
Copy of जीजाबाई.pdf,publisher,info,Publisher not extracted,
Copy of डॉ. हेडगेवार.pdf,author,warning,Author not extracted,
Copy of डॉ. हेडगेवार.pdf,publisher,info,Publisher not extracted,
Copy of नेताजी सुभाषचंद्र बोस.pdf,author,warning,Author not extracted,
Copy of नेताजी सुभाषचंद्र बोस.pdf,publisher,info,Publisher not extracted,
Copy of पंडित_दीनदयाल_उपाध्याय.pdf,author,warning,Author not extracted,
Copy of पंडित_दीनदयाल_उपाध्याय.pdf,publisher,info,Publisher not extracted,
Copy of भक्त प्रहलाद.pdf,author,warning,Author not extracted,
Copy of भक्त प्रहलाद.pdf,publisher,info,Publisher not extracted,
Copy of भगत सिंह.pdf,author,warning,Author not extracted,
Copy of भगत सिंह.pdf,publisher,info,Publisher not extracted,
Copy of भगीरथ.pdf,author,warning,Author not extracted,
Copy of भगीरथ.pdf,publisher,info,Publisher not extracted,
Copy of भास्कराचार्य ( Hindi ).pdf,publisher,info,Publisher not extracted,
Copy of महर्षि अगस्त्य.pdf,author,warning,Author not extracted,
Copy of महर्षि अगस्त्य.pdf,publisher,info,Publisher not extracted,
Copy of महर्षि वाल्मिकी.pdf,author,warning,Author not extracted,
Copy of महर्षि वाल्मिकी.pdf,publisher,info,Publisher not extracted,
Copy of महर्षि विश्वामित्र.pdf,author,warning,Author not extracted,
Copy of महर्षि विश्वामित्र.pdf,publisher,info,Publisher not extracted,
Copy of महर्षि वेदव्यास.pdf,author,warning,Author not extracted,
Copy of महर्षि वेदव्यास.pdf,publisher,info,Publisher not extracted,
Copy of महात्मा विदुर.pdf,publisher,info,Publisher not extracted,
Copy of महाराणा प्रताप ( Hindi ).pdf,publisher,info,Publisher not extracted,
Copy of महाराणा प्रताप.pdf,author,warning,Author not extracted,
Copy of महाराणा प्रताप.pdf,publisher,info,Publisher not extracted,
Copy of महाराणा_प्रताप_भारत_का_विर_योद्धा.pdf,publisher,info,Publisher not extracted,
Copy of महासती द्रोपदी.pdf,author,warning,Author not extracted,
Copy of महासती द्रोपदी.pdf,publisher,info,Publisher not extracted,
Copy of मीरा बाई का जीवन.pdf,publisher,info,Publisher not extracted,
Copy of मीराबाई.pdf,author,warning,Author not extracted,
Copy of मीराबाई.pdf,publisher,info,Publisher not extracted,
Copy of मोक्षदायिनी गंगा.pdf,publisher,info,Publisher not extracted,
Copy of योगी_कथामृत_परमहंस_योगानंद.pdf,publisher,info,Publisher not extracted,
Copy of राजा राम मोहनराय.pdf,author,warning,Author not extracted,
Copy of राजा राम मोहनराय.pdf,publisher,info,Publisher not extracted,
Copy of रानी लक्ष्मीबाई.pdf,author,warning,Author not extracted,
Copy of रानी लक्ष्मीबाई.pdf,publisher,info,Publisher not extracted,
Copy of लव-कुश की वीरता.pdf,publisher,info,Publisher not extracted,
Copy of वीर अभिमन्यु.pdf,author,warning,Author not extracted,
Copy of वीर अभिमन्यु.pdf,publisher,info,Publisher not extracted,
Copy of वीर सावरकर.pdf,author,warning,Author not extracted,
Copy of वीर सावरकर.pdf,publisher,info,Publisher not extracted,
Copy of श्री कृष्ण.pdf,author,warning,Author not extracted,
Copy of श्री कृष्ण.pdf,publisher,info,Publisher not extracted,
Copy of श्री राम.pdf,author,warning,Author not extracted,
Copy of श्री राम.pdf,publisher,info,Publisher not extracted,
Copy of सती अनुसुइया की कहानी.pdf,author,warning,Author not extracted,
Copy of सती अनुसुइया की कहानी.pdf,publisher,info,Publisher not extracted,
Copy of सती सावित्री.pdf,author,warning,Author not extracted,
Copy of सती सावित्री.pdf,publisher,info,Publisher not extracted,
Copy of स्वामी विवेकानंद ( Hindi ).pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Karna Ki Atmakatha (Hindi) (MANU SHARMA) (Z-Library).pdf,publisher,info,Publisher not extracted,
_सत्यवादी_राजा_हरिश्चंद्र_की_कथा.pdf,author,warning,Author not extracted,
_सत्यवादी_राजा_हरिश्चंद्र_की_कथा.pdf,publisher,info,Publisher not extracted,
आर्यभट्ट ( Hindi ).pdf,publisher,info,Publisher not extracted,
आर्यभट्ट.pdf,author,warning,Author not extracted,
आर्यभट्ट.pdf,publisher,info,Publisher not extracted,
एकलव्य.pdf,author,warning,Author not extracted,
एकलव्य.pdf,publisher,info,Publisher not extracted,
कार्तिकेय.pdf,author,warning,Author not extracted,
कार्तिकेय.pdf,publisher,info,Publisher not extracted,
छत्रपति शिवाजी ( Hindi ).pdf,publisher,info,Publisher not extracted,
छत्रपति शिवाजी.pdf,author,warning,Author not extracted,
छत्रपति शिवाजी.pdf,publisher,info,Publisher not extracted,
जगद्गुरु शंकराचार्य.pdf,author,warning,Author not extracted,
जगद्गुरु शंकराचार्य.pdf,publisher,info,Publisher not extracted,
जीजाबाई.pdf,author,warning,Author not extracted,
जीजाबाई.pdf,publisher,info,Publisher not extracted,
डॉ. हेडगेवार.pdf,author,warning,Author not extracted,
डॉ. हेडगेवार.pdf,publisher,info,Publisher not extracted,
नेताजी सुभाषचंद्र बोस.pdf,author,warning,Author not extracted,
नेताजी सुभाषचंद्र बोस.pdf,publisher,info,Publisher not extracted,
पंडित_दीनदयाल_उपाध्याय.pdf,author,warning,Author not extracted,
पंडित_दीनदयाल_उपाध्याय.pdf,publisher,info,Publisher not extracted,
भक्त प्रहलाद.pdf,author,warning,Author not extracted,
भक्त प्रहलाद.pdf,publisher,info,Publisher not extracted,
भगत सिंह.pdf,author,warning,Author not extracted,
भगत सिंह.pdf,publisher,info,Publisher not extracted,
भगीरथ.pdf,author,warning,Author not extracted,
भगीरथ.pdf,publisher,info,Publisher not extracted,
भास्कराचार्य ( Hindi ).pdf,publisher,info,Publisher not extracted,
महर्षि अगस्त्य.pdf,author,warning,Author not extracted,
महर्षि अगस्त्य.pdf,publisher,info,Publisher not extracted,
महर्षि वाल्मिकी.pdf,author,warning,Author not extracted,
महर्षि वाल्मिकी.pdf,publisher,info,Publisher not extracted,
महर्षि विश्वामित्र.pdf,author,warning,Author not extracted,
महर्षि विश्वामित्र.pdf,publisher,info,Publisher not extracted,
महर्षि वेदव्यास.pdf,author,warning,Author not extracted,
महर्षि वेदव्यास.pdf,publisher,info,Publisher not extracted,
महात्मा विदुर.pdf,publisher,info,Publisher not extracted,
महाराणा प्रताप ( Hindi ).pdf,publisher,info,Publisher not extracted,
महाराणा प्रताप.pdf,author,warning,Author not extracted,
महाराणा प्रताप.pdf,publisher,info,Publisher not extracted,
महाराणा_प्रताप_भारत_का_विर_योद्धा.pdf,publisher,info,Publisher not extracted,
महासती द्रोपदी.pdf,author,warning,Author not extracted,
महासती द्रोपदी.pdf,publisher,info,Publisher not extracted,
मीरा बाई का जीवन.pdf,publisher,info,Publisher not extracted,
मीराबाई.pdf,author,warning,Author not extracted,
मीराबाई.pdf,publisher,info,Publisher not extracted,
मोक्षदायिनी गंगा.pdf,publisher,info,Publisher not extracted,
योगी_कथामृत_परमहंस_योगानंद.pdf,publisher,info,Publisher not extracted,
राजा राम मोहनराय.pdf,author,warning,Author not extracted,
राजा राम मोहनराय.pdf,publisher,info,Publisher not extracted,
रानी लक्ष्मीबाई.pdf,author,warning,Author not extracted,
रानी लक्ष्मीबाई.pdf,publisher,info,Publisher not extracted,
लव-कुश की वीरता.pdf,publisher,info,Publisher not extracted,
वीर अभिमन्यु.pdf,author,warning,Author not extracted,
वीर अभिमन्यु.pdf,publisher,info,Publisher not extracted,
वीर सावरकर.pdf,author,warning,Author not extracted,
वीर सावरकर.pdf,publisher,info,Publisher not extracted,
श्री कृष्ण.pdf,author,warning,Author not extracted,
श्री कृष्ण.pdf,publisher,info,Publisher not extracted,
श्री राम.pdf,author,warning,Author not extracted,
श्री राम.pdf,publisher,info,Publisher not extracted,
सती अनुसुइया की कहानी.pdf,author,warning,Author not extracted,
सती अनुसुइया की कहानी.pdf,publisher,info,Publisher not extracted,
सती सावित्री.pdf,author,warning,Author not extracted,
सती सावित्री.pdf,publisher,info,Publisher not extracted,
स्वामी विवेकानंद ( Hindi ).pdf,publisher,info,Publisher not extracted,
Brahma-Sphuta-Siddhanta_VOL_I.pdf,author,warning,Author not extracted,
Brahma-Sphuta-Siddhanta_VOL_I.pdf,publisher,info,Publisher not extracted,
Brahma-Sphuta-Siddhanta_VOL_II.pdf,author,warning,Author not extracted,
Brahma-Sphuta-Siddhanta_VOL_II.pdf,publisher,info,Publisher not extracted,
Brahma-Sphuta-Siddhanta_VOL_III.pdf,author,warning,Author not extracted,
Brahma-Sphuta-Siddhanta_VOL_III.pdf,publisher,info,Publisher not extracted,
Brahma-Sphuta-Siddhanta_VOL_IV.pdf,author,warning,Author not extracted,
Brahma-Sphuta-Siddhanta_VOL_IV.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Brahma Sutras - According to Sri Sankara by Swami Vireswarananda [Sanskrit-English].pdf,publisher,info,Publisher not extracted,
